LA Name,Centre Type,School Name,Address Line1,Address Line2,Address Line3,Post Code,Unique Property Reference Number (UPRN)
Stirling,Local Authority,Our Lady's RC Primary School,Raploch Community Campus,Drip Road,STIRLING,FK8 1SD,122069326
Stirling,Local Authority,Strathblane Primary School,Southview Road,Blanefield,GLASGOW,G63 9JQ,122009540
Stirling,Local Authority,Balfron High School,Roman Road,Balfron,,G63 0PW,122008474
Stirling,Local Authority,Bannockburn High School,Bannockburn Road,Bannockburn,STIRLING,FK7 0HQ,122025192
Stirling,Local Authority,Stirling High School,Torbrex Farm Road,,STIRLING,FK8 2PA,122059752
Stirling,Local Authority,St Modan's High School,Royal Stuart Way,,STIRLING,FK7 7WS,122062503
Stirling,Local Authority,Wallace High School,Airthrey Road,,STIRLING,FK9 5HW,122059725
Stirling,Local Authority,Castleview School,Raploch Community Campus,Drip Road,STIRLING,FK8 1SD,122069325
Falkirk,Local Authority,Kinnaird Primary School,McIntyre Avenue,Larbert,,FK5 4TQ,136074511
Falkirk,Local Authority,Airth Primary School,Elphinstone Crescent,Airth,FALKIRK,FK2 8JX,136035495
Falkirk,Local Authority,Avonbridge Primary School,Main Street,Avonbridge,FALKIRK,FK1 2NG,136035864
Falkirk,Local Authority,Bankier Primary School,Bankier Road,Banknock,BONNYBRIDGE,FK4 1TF,136000685
Falkirk,Local Authority,Bonnybridge Primary School,Wellpark Terrace,Bonnybridge,,FK4 1LR,136000099
Falkirk,Local Authority,St Joseph's RC Primary School,Broomhill Road,Bonnybridge,,FK4 2AN,136069080
Falkirk,Local Authority,California Primary School,Main Street,California,FALKIRK,FK1 2BW,136033428
Falkirk,Local Authority,Carron Primary School,Alloa Road,Carron,FALKIRK,FK2 8EJ,136023631
Falkirk,Local Authority,Carronshore Primary School,Kincardine Road,Carronshore,FALKIRK,FK2 8AE,136032323
Falkirk,Local Authority,Denny Primary School,Duke Street,Denny,,FK6 6NW,136066333
Falkirk,Local Authority,Nethermains Primary School,Bulloch Crescent,Denny,,FK6 5AR,136024534
Falkirk,Local Authority,St Patrick's RC Primary School,Carronbank Crescent,Denny,,FK6 6DW,136068661
Falkirk,Local Authority,Dunipace Primary School,Thistle Avenue,Dunipace,DENNY,FK6 6LS,136051149
Falkirk,Local Authority,Drumbowie Primary School,Standburn,Avonbridge,FALKIRK,FK1 2HS,136039062
Falkirk,Local Authority,Bainsford Primary School,Waverley Street,Bainsford,FALKIRK,FK2 7NW,136022074
Falkirk,Local Authority,Bantaskin Primary School,Bantaskine Road,Falkirk,,FK1 5HT,136011820
Falkirk,Local Authority,Carmuirs Primary School,Carmuirs Street,Camelon,FALKIRK,FK1 4PZ,136006749
Falkirk,Local Authority,Comely Park Primary School,Cow Wynd,Falkirk,,FK1 1PZ,136017828
Falkirk,Local Authority,Easter Carmuirs Primary School,Carmuirs Drive,Camelon,FALKIRK,FK1 4JG,136002784
Falkirk,Local Authority,Hallglen Primary School,New Hallglen Road,Hallglen,FALKIRK,FK1 2RA,136016305
Falkirk,Local Authority,Langlees Primary School,David's Loan,Falkirk,,FK2 7RG,10091787594
Falkirk,Local Authority,Laurieston Primary School,School Road,Laurieston,FALKIRK,FK2 9JA,136038187
Falkirk,Local Authority,St Andrew's RC Primary School,Hawley Road,Falkirk,,FK1 1SH,136028053
Falkirk,Local Authority,St Francis Xavier's RC Primary School,Merchiston Avenue,Falkirk,,FK2 7JS,136019681
Falkirk,Local Authority,Victoria Primary School,Middlefield Road,Falkirk,,FK2 9HF,136030405
Falkirk,Local Authority,Beancross Primary School,Kenilworth Street,Grangemouth,,FK3 8QS,136044697
Falkirk,Local Authority,Bowhouse Primary School,Tinto Drive,Grangemouth,,FK3 0DZ,136074211
Falkirk,Local Authority,Sacred Heart RC Primary School,Bowhouse Road,Grangemouth,,FK3 0EU,136050905
Falkirk,Local Authority,Larbert Village Primary School,Main Street,Larbert,,FK5 3AS,136003411
Falkirk,Local Authority,Ladeside Primary School,Carronvale Road,Larbert,,FK5 3LH,136006989
Falkirk,Local Authority,Maddiston Primary School,Glendevon Drive,Maddiston,FALKIRK,FK2 0GT,136078313
Falkirk,Local Authority,Shieldhill Primary School,Main Street,Shieldhill,FALKIRK,FK1 2HA,136002027
Falkirk,Local Authority,Slamannan Primary School,Bank Street,Slamannan,FALKIRK,FK1 3EZ,136001657
Falkirk,Local Authority,Stenhousemuir Primary School,Rae Street,Stenhousemuir,LARBERT,FK5 4QP,136070388
Falkirk,Local Authority,Wallacestone Primary School,Braemar Gardens,Brightons,FALKIRK,FK2 0JB,136039811
Falkirk,Local Authority,Westquarter Primary School,Westquarter Avenue,Westquarter,FALKIRK,FK2 9RN,136036483
Falkirk,Local Authority,Whitecross Primary School,Avontoun Crescent,Whitecross,LINLITHGOW,EH49 6JN,136055130
Falkirk,Local Authority,Denny High School,Herbertshire Park,Denny,,FK6 6EE,136076413
Falkirk,Local Authority,Head Of Muir Primary School,Haypark Road,Head of Muir,DENNY,FK6 5JZ,136063272
Falkirk,Local Authority,Falkirk High School,Westburn Avenue,Falkirk,,FK1 5BZ,136078913
Falkirk,Local Authority,St Margaret's Primary School,Salmon Inn Road,Polmont,FALKIRK,FK2 0XF,136040430
Stirling,Local Authority,Newton Primary School,Newton Crescent,Dunblane,,FK15 0DZ,122006259
Falkirk,Local Authority,Graeme High School,Callendar Road,Falkirk,,FK1 1SY,136062622
Falkirk,Local Authority,St Mungo's RC High School,Merchison Avenue,Falkirk,,FK2 7JT,136079081
Falkirk,Local Authority,Braes High School,Newlands Road,Reddingmuirhead,FALKIRK,FK2 0DA,136036354
Falkirk,Local Authority,Grangemouth High School,Tinto Drive,Grangemouth,,FK3 0HW,136078914
Falkirk,Local Authority,Larbert High School,Carrongrange Avenue,Stenhousemuir,LARBERT,FK5 3BL,136070398
Falkirk,Local Authority,Carrongrange High School,Oxgang Road,Grangemouth,,FK3 9HP,136089506
Falkirk,Local Authority,Windsor Park School,Bantaskine Road,Falkirk,,FK1 5HT,136011718
Falkirk,Local Authority,Blackness Primary School,Blackness Road,Blackness,LINLITHGOW,EH49 7NP,136062501
Falkirk,Local Authority,Bo'ness Public School,Stewart Avenue,Bo'ness,,EH51 9NL,136059492
Falkirk,Local Authority,Grange Primary School,Grange Loan,Bo'ness,,EH51 9DX,136061439
Falkirk,Local Authority,Kinneil Primary School,Dean Road,Bo'ness,,EH51 0DJ,136058126
Falkirk,Local Authority,Deanburn Primary School,Hazeldean Avenue,Bo'ness,,EH51 0NS,136056498
Falkirk,Local Authority,Bo'ness Academy,Gauze Road,Bo'ness,,EH51 9AS,136060536
Falkirk,Local Authority,St Mary's RC Primary School,Gauze Road,Bo'ness,,EH51 9QB,136061441
Falkirk,Local Authority,Antonine Primary School,Broomhill Road,Bonnybridge,,FK4 2AN,136069117
Falkirk,Local Authority,Moray Primary School,Moray Place,Grangemouth,,FK3 9DL,10091787453
Dumfries & Galloway,Local Authority,Heathhall Primary School,Herries Avenue,Heathhall,DUMFRIES,DG1 3QZ,137103705
Dumfries & Galloway,Local Authority,Castle Kennedy School,Castle Kennedy,Stranraer,,DG9 8RY,137086972
Dumfries & Galloway,Local Authority,Drummore School,Shaw Lane,Drummore,STRANRAER,DG9 9PY,137012047
Dumfries & Galloway,Local Authority,Garlieston School,Randolph Crescent,Garlieston,NEWTON STEWART,DG8 8BG,137041460
Dumfries & Galloway,Local Authority,Glenluce School,Glenluce,Newton Stewart,,DG8 0JE,137082346
Dumfries & Galloway,Local Authority,Kirkcolm School,Kirkcolm,Stranraer,,DG9 0NS,137085527
Dumfries & Galloway,Local Authority,Kirkcowan School,Wellhouse Road,Kirkcowan,NEWTON STEWART,DG8 0HP,137082321
Dumfries & Galloway,Local Authority,Kirkinner School,Kirkinner,Newton Stewart,,DG8 9AL,137008302
Dumfries & Galloway,Local Authority,Leswalt School,Leswalt,Stranraer,,DG9 0LJ,137085431
Dumfries & Galloway,Local Authority,Penninghame School,Auchendoon Road,Newton Stewart,,DG8 6HD,137001085
Dumfries & Galloway,Local Authority,Portpatrick School,School Brae,Portpatrick,STRANRAER,DG9 8LG,137001479
Dumfries & Galloway,Local Authority,Port William School,Port William,Newton Stewart,,DG8 9JX,137084770
Dumfries & Galloway,Local Authority,Sandhead School,Sandhead,Stranraer,,DG9 9JD,137087675
Dumfries & Galloway,Local Authority,Park School,Ashwood Drive,Stranraer,,DG9 7NW,137030059
Dumfries & Galloway,Local Authority,Rephad School,Ladies Walk,Stranraer,,DG9 8BW,137030849
Dumfries & Galloway,Local Authority,St Joseph's RC School,Lewis Street,Stranraer,,DG9 7AR,137016021
Dumfries & Galloway,Local Authority,Sheuchan School,Leswalt High Road,Stranraer,,DG9 0AL,137005171
Dumfries & Galloway,Local Authority,Wigtown Primary School,New Road,Wigtown,NEWTON STEWART,DG8 9JE,137023733
Dumfries & Galloway,Local Authority,Douglas Ewart High School,Corsbie Road,Newton Stewart,,DG8 6JQ,137048044
Dumfries & Galloway,Local Authority,Stranraer Academy,McMaster's Road,Stranraer,,DG9 8BY,137027043
Dumfries & Galloway,Local Authority,Whithorn School,Whithorn,Newton Stewart,,DG8 8PN,137037532
Dumfries & Galloway,Local Authority,Creetown School,Chain Road,Creetown,NEWTON STEWART,DG8 7JR,137027650
Dumfries & Galloway,Local Authority,Minnigaff School,McGregor Drive,Minnigaff,NEWTON STEWART,DG8 6PE,137010500
Dumfries & Galloway,Local Authority,Belmont School,Galloway Avenue,Stranraer,,DG9 7BH,137016113
Dumfries & Galloway,Local Authority,Kirkcudbright Primary School,St Mary's Wynd,,KIRKCUDBRIGHT,DG6 4JT,137103703
Dumfries & Galloway,Local Authority,Auchencairn School,Auchencairn,Castle Douglas,,DG7 1QU,137023846
Dumfries & Galloway,Local Authority,Castle Douglas Primary School,Jenny's Loaning,Castle Douglas,,DG7 1JA,137008750
Dumfries & Galloway,Local Authority,Colvend School,Colvend,Dalbeattie,,DG5 4QD,137076952
Dumfries & Galloway,Local Authority,Crossmichael School,Crossmichael,Castle Douglas,,DG7 3AP,137080445
Dumfries & Galloway,Local Authority,Dalbeattie Primary School,Craignair Road,Dalbeattie,,DG5 4LU,137109754
Dumfries & Galloway,Local Authority,Gelston School,Gelston,Castle Douglas,,DG7 1SH,137079076
Dumfries & Galloway,Local Authority,Hardgate School,Hardgate,Castle Douglas,,DG7 3LD,137080992
Dumfries & Galloway,Local Authority,Kells School,Braeside,New Galloway,CASTLE DOUGLAS,DG7 3RL,137039697
Dumfries & Galloway,Local Authority,Kirkgunzeon School,Kirkgunzeon,Dumfries,,DG2 8LA,137073133
Dumfries & Galloway,Local Authority,Lochrutton School,Lochfoot,Dumfries,,DG2 8NR,137073334
Dumfries & Galloway,Local Authority,Palnackie School,Palnackie,Castle Douglas,,DG7 1PW,137078787
Dumfries & Galloway,Local Authority,Springholm School,Reoch Park,Springholm,CASTLE DOUGLAS,DG7 3LJ,137025554
Dumfries & Galloway,Local Authority,Twynholm School,Twynholm,Kirkcudbright,,DG6 4NY,137077486
Dumfries & Galloway,Local Authority,Castle Douglas High School,Dunmuir Road,Castle Douglas,,DG7 1LQ,137049250
Dumfries & Galloway,Local Authority,Dalbeattie High School,Craignair Road,Dalbeattie,,DG5 4LU,137109752
Dumfries & Galloway,Local Authority,Dalry Secondary School,Kirkland Street,Dalry,CASTLE DOUGLAS,DG7 3UX,137051763
Dumfries & Galloway,Local Authority,Kirkcudbright Academy,St Mary's Wynd,Kirkcudbright,,DG6 4JN,137000399
Dumfries & Galloway,Local Authority,Gatehouse School,Gatehouse Of Fleet,Castle Douglas,,DG7 2JX,137105218
Dumfries & Galloway,Local Authority,New Abbey School,New Abbey,Dumfries,,DG2 8BY,137025837
Dumfries & Galloway,Local Authority,Shawhead School,Shawhead,Dumfries,,DG2 9SL,137074170
Dumfries & Galloway,Local Authority,Amisfield School,Amisfield,Dumfries,,DG1 3LN,137061813
Dumfries & Galloway,Local Authority,Brownhall School,Glencaple Road,Dumfries,,DG1 4TU,137058446
Dumfries & Galloway,Local Authority,Closeburn School,Closeburn,Thornhill,DUMFRIESSHIRE,DG3 5HP,137104774
Dumfries & Galloway,Local Authority,Collin School,2 Main Road,Collin,DUMFRIES,DG1 4JE,137052193
Dumfries & Galloway,Local Authority,Laurieknowe School,Laurieknowe,Dumfries,,DG2 7AJ,137029395
Dumfries & Galloway,Local Authority,Lincluden School,Priory Road,Lincluden,DUMFRIES,DG2 0PU,137017917
Dumfries & Galloway,Local Authority,Loreburn School,George Street,Dumfries,,DG1 1EA,137001860
Dumfries & Galloway,Local Authority,Noblehill School,233 Annan Road,Dumfries,,DG1 3HB,137039253
Dumfries & Galloway,Local Authority,St Michael's School,Glebe Street,Dumfries,,DG1 2LZ,137044660
Dumfries & Galloway,Local Authority,St Teresa's RC School,Lochside Road,Dumfries,,DG2 0DY,137043608
Dumfries & Galloway,Local Authority,Troqueer School,Hill Avenue,Troqueer,DUMFRIES,DG2 7LR,137017123
Dumfries & Galloway,Local Authority,Duncow School,Kirkmahaoe,Duncow,DUMFRIES,DG1 1TA,137061198
Dumfries & Galloway,Local Authority,Dunscore School,Dunscore,Dumfries,,DG2 0SY,137071740
Dumfries & Galloway,Local Authority,Georgetown School,Gillbrae Road,Dumfries,,DG1 4EJ,137051497
Dumfries & Galloway,Local Authority,Holywood School,School Road,Holywood,DUMFRIES,DG2 0RF,137048352
Dumfries & Galloway,Local Authority,Kelloholm School,Hyslop Street,Kelloholm,SANQUHAR,DG4 6QJ,137022868
Dumfries & Galloway,Local Authority,Locharbriggs School,Wallamhill Road,Locharbriggs,DUMFRIES,DG1 1UW,137020923
Dumfries & Galloway,Local Authority,Moniaive School,Chapel Street,Moniaive,THORNHILL,DG3 4EJ,137017453
Dumfries & Galloway,Local Authority,Nethermill School,Parkgate,Dumfries,,DG1 3NL,137061984
Dumfries & Galloway,Local Authority,Penpont School,Penpont,Thornhill,,DG3 4BH,137074588
Dumfries & Galloway,Local Authority,Dumfries Academy,Academy Street,Dumfries,,DG1 1DD,137011198
Dumfries & Galloway,Local Authority,Dumfries High School,Marchmount,Dumfries,,DG1 1PX,137060913
Dumfries & Galloway,Local Authority,Sanquhar Academy,Broomfield,Sanquhar,,DG4 6JN,137076143
Dumfries & Galloway,Local Authority,Wallace Hall Academy,Station Road,Thornhill,DUMFRIESSHIRE,DG3 5DS,137103700
Dumfries & Galloway,Local Authority,Sanquhar Primary School,Queensberry Court,Lovedale,SANQUHAR,DG4 6BD,137006762
Dumfries & Galloway,Local Authority,Caerlaverock School,Church Street,Glencaple,DUMFRIES,DG1 4QU,137020859
Dumfries & Galloway,Local Authority,Langlands School,North West Community Campus,Alloway Road,,DG2 9DF,137024148
Dumfries & Galloway,Local Authority,D&G Secondary Inclusion Support,The Bridge,Glasgow Road,DUMFRIES,DG2 9AW,137116865
Dumfries & Galloway,Local Authority,Calside School,Calside Road,Dumfries,,DG1 4HB,137035999
Dumfries & Galloway,Local Authority,St Joseph's College,Craigs Road,Dumfries,,DG1 4UU,137035725
Dumfries & Galloway,Local Authority,St Andrew's RC School,Craigs Road,Dumfries,,DG1 4EX,137103698
Dumfries & Galloway,Local Authority,Wallace Hall Primary School,Station Road,Thornhill,,DG3 5DS,137103702
Dumfries & Galloway,Local Authority,Cargenbridge School,Waterside Road,Cargenbridge,DUMFRIES,DG2 8LL,137049987
Dumfries & Galloway,Local Authority,Hecklegirth School,Solway Street,Annan,DUMFRIESSHIRE,DG12 6HY,137068923
Dumfries & Galloway,Local Authority,Newington School,Hospital Road,Annan,DUMFRIESSHIRE,DG12 6LA,137050258
Dumfries & Galloway,Local Authority,St Columba's RC School,Shawhill Road,Annan,DUMFRIESSHIRE,DG12 6JX,137029537
Dumfries & Galloway,Local Authority,Applegarth School,Lockerbie,Dumfriesshire,,DG11 2SH,137066656
Dumfries & Galloway,Local Authority,Beattock School,Craigielands Park,Beattock,MOFFAT,DG10 9RB,137004407
Dumfries & Galloway,Local Authority,Brydekirk School,School Street,Brydekirk,ANNAN,DG12 5LX,137024829
Dumfries & Galloway,Local Authority,Canonbie School,Canonbie,Dumfriesshire,,DG14 0XA,137070393
Dumfries & Galloway,Local Authority,Cummertrees School,Cummertrees,Annan,,DG12 5PD,137068332
Dumfries & Galloway,Local Authority,Carrutherstown School,Carrutherstown,Dumfries,,DG1 4LD,137062605
Dumfries & Galloway,Local Authority,Eaglesfield School,Eaglesfield,Lockerbie,,DG11 3PA,137067724
Dumfries & Galloway,Local Authority,Eastriggs School,Annan Road,Eastriggs,ANNAN,DG12 6PZ,137001651
Dumfries & Galloway,Local Authority,Hoddom School,Langlands Road,Ecclefechan,LOCKERBIE,DG11 3DS,137046789
Dumfries & Galloway,Local Authority,Gretna School,Victory Avenue,Gretna,,DG16 5AG,137003736
Dumfries & Galloway,Local Authority,Springfield Primary School,Springfield,Gretna,,DG16 5HS,137036160
Dumfries & Galloway,Local Authority,Hightae School,Hightae,Lockerbie,,DG11 1JN,137065168
Dumfries & Galloway,Local Authority,Johnstonebridge School,Johnstonebridge,Lockerbie,DUMFRIESSHIRE,DG11 1ES,137064877
Dumfries & Galloway,Local Authority,Kirkpatrick Fleming School,Kirkpatrick Fleming,Lockerbie,,DG11 3AU,137066840
Dumfries & Galloway,Local Authority,Lochmaben School,Lochmaben,Lockerbie,,DG11 1NR,137097229
Dumfries & Galloway,Local Authority,St Mungo School,Kettleholm,Lockerbie,,DG11 1BT,137064602
Dumfries & Galloway,Local Authority,Annan Academy,St John's Road,Annan,DUMFRIESSHIRE,DG12 6AP,137020551
Dumfries & Galloway,Local Authority,Langholm Academy,Langholm,Dumfriesshire,,DG13 0BL,137025975
Dumfries & Galloway,Local Authority,Lockerbie Academy,Glasgow Road,Lockerbie,DUMFRIESSHIRE,DG11 2AT,137103673
Dumfries & Galloway,Local Authority,Moffat Academy,Jeff Brown Drive,Moffat,,DG10 9QL,137103678
Dumfries & Galloway,Local Authority,Lockerbie Primary School,Glasgow Road,Lockerbie,,DG11 2AT,137103665
Dumfries & Galloway,Local Authority,Elmvale School,Wood Avenue,Annan,,DG12 6DH,137039036
Dumfries & Galloway,Local Authority,Langholm Primary School,Thomas Telford Road,Langholm,,DG13 0BL,137026058
Orkney Islands,Local Authority,Burray Primary School,Burray,Orkney,,KW17 2SS,134014653
Orkney Islands,Local Authority,Dounby Community School,Dounby,Orkney,,KW17 2JA,134014428
Orkney Islands,Local Authority,Eday Primary School,Eday,Orkney,,KW17 2AA,134014266
Orkney Islands,Local Authority,Firth Primary School,Finstown,Orkney,,KW17 2ES,134010626
Orkney Islands,Local Authority,Hope Primary School,St Margaret's Hope,Orkney,,KW17 2TN,134014675
Orkney Islands,Local Authority,Papdale Primary School,Kirkwall,Orkney,,KW15 1PJ,134011063
Orkney Islands,Local Authority,North Ronaldsay Primary School,North Ronaldsay,Orkney,,KW17 2BG,134014295
Orkney Islands,Local Authority,Orphir Community School,Orphir,Orkney,,KW17 2RB,134014572
Orkney Islands,Local Authority,Papa Westray Community School,Papa Westray,Orkney,,KW17 2BU,134010774
Orkney Islands,Local Authority,Rousay Primary School,Rousay,Orkney,,KW17 2PR,134014513
Orkney Islands,Local Authority,Stenness Community School,Stenness,Orkney,,KW16 3LB,134014183
Orkney Islands,Local Authority,Stromness Primary School,Stromness,Orkney,,KW16 3JS,134011127
Orkney Islands,Local Authority,Kirkwall Grammar School,Kirkwall,Orkney,,KW15 1QN,134017599
Orkney Islands,Local Authority,North Walls Community School,Lyness,Stromness,ORKNEY,KW16 3NX,134014245
Orkney Islands,Local Authority,Evie Primary School,Evie,Orkney,,KW17 2PE,134020194
Orkney Islands,Local Authority,Westray Junior High School,Westray,Orkney,,KW17 2DH,134014360
Orkney Islands,Local Authority,Sanday Community School,Sanday,Orkney,,KW17 2AY,134010801
Orkney Islands,Local Authority,Glaitness School,Kirkwall,Orkney,,KW15 1RP,134010578
Orkney Islands,Local Authority,Stromness Academy,Stromness,Orkney,,KW16 3JS,134011099
Orkney Islands,Local Authority,Shapinsay Community School,Shapinsay,Orkney,,KW17 2DY,134010734
Orkney Islands,Local Authority,St Andrew's Primary School,Toab,Orkney,,KW17 2QG,134014527
Orkney Islands,Local Authority,Stronsay Junior High School,Stronsay,Orkney,,KW17 2AE,134014273
Shetland Islands,Local Authority,Burravoe Primary School,Burravoe,Yell,SHETLAND,ZE2 9AY,30100004112
Shetland Islands,Local Authority,Cullivoe Primary School,Cullivoe,Yell,SHETLAND,ZE2 9DD,30100003542
Shetland Islands,Local Authority,Cunningsburgh Primary School,Cunningsburgh,Shetland,,ZE2 9HB,30100006998
Shetland Islands,Local Authority,Dunrossness Primary School,Dunrossness,Shetland,,ZE2 9JG,30100005476
Shetland Islands,Local Authority,Fair Isle Primary School,Fair Isle,Shetland,,ZE2 9JU,30100004972
Shetland Islands,Local Authority,Foula Primary School,Foula,Shetland,,ZE2 9PN,30100006634
Shetland Islands,Local Authority,Tingwall Primary School,Tingwall,Shetland,,ZE2 9SE,30100004889
Shetland Islands,Local Authority,Hamnavoe Primary School,Hamnavoe,Shetland,,ZE2 9LA,30100005399
Shetland Islands,Local Authority,Happyhansel Primary School,Walls,Shetland,,ZE2 9PG,30100005941
Shetland Islands,Local Authority,Urafirth Primary School,Heylor,Shetland,,ZE2 9RH,30100004282
Shetland Islands,Local Authority,Bell's Brae Primary School,Gilbertson Road,Lerwick,SHETLAND,ZE1 0QB,30100001561
Shetland Islands,Local Authority,Lunnasting Primary School,Vidlin,Shetland,,ZE2 9QB,30100004658
Shetland Islands,Local Authority,North Roe Primary School,North Roe,Shetland,,ZE2 9RY,30100004221
Shetland Islands,Local Authority,Ollaberry Primary School,Ollaberry,Shetland,,ZE2 9RT,30100004251
Shetland Islands,Local Authority,Sandness Primary School,Sandness,Shetland,,ZE2 9PL,30100004581
Shetland Islands,Local Authority,Nesting Primary School,South Nesting,Shetland,,ZE2 9PP,301000015952
Shetland Islands,Local Authority,Whiteness Primary School,Whiteness,Shetland,,ZE2 9LJ,30100004932
Shetland Islands,Local Authority,Aith Junior High School,Aith,Shetland,,ZE2 9NB,30100006738
Shetland Islands,Local Authority,Baltasound Junior High School,Baltasound,Unst,SHETLAND,ZE2 9DY,30100006371
Shetland Islands,Local Authority,Brae High School,Brae,Shetland,,ZE2 9QG,30100004497
Shetland Islands,Local Authority,Anderson High School,North Loch Drive,Lerwick,SHETLAND,ZE1 0GR,30100000033
Shetland Islands,Local Authority,Mid Yell Junior High School,Mid Yell,Shetland,,ZE2 9BN,301000017587
Shetland Islands,Local Authority,Sandwick Junior High School,Sandwick,Shetland,,ZE2 9HH,30100005633
Shetland Islands,Local Authority,Scalloway Primary School,Scalloway,Shetland,,ZE1 0TN,30100005210
Shetland Islands,Local Authority,Whalsay School,Symbister,Whalsay,SHETLAND,ZE2 9AQ,30100004743
Shetland Islands,Local Authority,Sound Primary School,Lerwick,Shetland,,ZE1 0LY,30100006282
Shetland Islands,Local Authority,Mossbank Primary School,Mossbank,Shetland,,ZE2 9RB,30100004557
Na h-Eileanan Siar,Local Authority,Sgoil Bhaile a Mhanaich,Balivanich,Isle of Benbecula,,HS7 5LS,139019727
Na h-Eileanan Siar,Local Authority,Eoligarry Primary School,Castlebay,Barra,,HS9 5YD,139013770
Na h-Eileanan Siar,Local Authority,Castlebay School,Castlebay,Barra,,HS9 5XD,139018060
Na h-Eileanan Siar,Local Authority,Daliburgh School,Daliburgh,South Uist,,HS8 5SS,139026084
Na h-Eileanan Siar,Local Authority,Leverhulme Memorial School,Leverburgh,Harris,,HS5 3TS,139018046
Na h-Eileanan Siar,Local Authority,Sir E Scott School,Tarbert,Isle of Harris,WESTERN ISLES,HS3 3BG,139023574
Na h-Eileanan Siar,Local Authority,Breasclete Primary School,Breasclete,Lewis,,HS2 9ED,139014341
Na h-Eileanan Siar,Local Authority,Laxdale Primary School,Laxdale,Isle of Lewis,,HS2 0DS,139014189
Na h-Eileanan Siar,Local Authority,Stornoway Primary School,Jamieson Drive,Stornoway,ISLE OF LEWIS,HS1 2LF,139013796
Na h-Eileanan Siar,Local Authority,Pairc Primary School,Gravir,Lewis,,HS2 9QX,139014512
Na h-Eileanan Siar,Local Authority,Tong Primary School,Tong,Lewis,,HS2 0HJ,139014201
Na h-Eileanan Siar,Local Authority,Sgoil an Rubha,Bayble,Point,ISLE OF LEWIS,HS2 0PX,139023566
Na h-Eileanan Siar,Local Authority,Back School,Back,Lewis,,HS2 0LB,139019715
Na h-Eileanan Siar,Local Authority,Lionel School,Lionel,Port of Ness,ISLE OF LEWIS,HS2 0XB,139013912
Na h-Eileanan Siar,Local Authority,Sgoil-nan-Loch,Leurbost,Lewis,,HS2 9NS,139014192
Na h-Eileanan Siar,Local Authority,Shawbost School,Shawbost,Lewis,,HS2 9BQ,139014198
Na h-Eileanan Siar,Local Authority,The Nicolson Institute,Stornoway,Lewis,,HS1 2PZ,139023190
Na h-Eileanan Siar,Local Authority,Uig Primary School,Timsgarry,Uig,ISLE OF LEWIS,HS2 9JE,139014202
Na h-Eileanan Siar,Local Authority,Sgoil Lionacleit,Liniclate,Benbecula,,HS7 5PJ,139014191
Na h-Eileanan Siar,Local Authority,Iochdar Primary School,Iochdar,South Uist,,HS8 5RQ,139019698
Argyll & Bute,Local Authority,Strath of Appin Primary School Gaelic Medium,Strath of Appin,Appin,ARGYLL,PA38 4BG,125066783
Argyll & Bute,Local Authority,Achahoish Primary School,Achahoish,Lochgilphead,ARGYLL,PA31 8NZ,125070825
Argyll & Bute,Local Authority,Arinagour Primary School,Arinagour,Isle Of Coll,ARGYLL,PA78 6TA,125041637
Argyll & Bute,Local Authority,Ardrishaig Primary School,Glengilp Road,Ardrishaig,ARGYLL,PA30 8HF,125030687
Argyll & Bute,Local Authority,Barcaldine Primary School,Barcaldine,By Oban,ARGYLL,PA37 1SG,125065878
Argyll & Bute,Local Authority,Bunessan Primary School,Bunessan,Isle Of Mull,ARGYLL,PA67 6DL,125067848
Argyll & Bute,Local Authority,Carradale Primary School,Carradale,Campbeltown,ARGYLL,PA28 6SD,125043027
Argyll & Bute,Local Authority,Clachan Primary School,Clachan,Tarbert,ARGYLL,PA29 6XL,125052236
Argyll & Bute,Local Authority,Craignish Primary School,Ardfern,Lochgilphead,ARGYLL,PA31 8QN,125051848
Argyll & Bute,Local Authority,Dalmally Primary School,Glenview,Dalmally,ARGYLL,PA33 1BE,125046626
Argyll & Bute,Local Authority,Dervaig Primary School,Dervaig,Isle Of Mull,ARGYLL,PA75 6QW,125063375
Argyll & Bute,Local Authority,Drumlemble Primary School,Drumlemble,Campbeltown,ARGYLL,PA28 6PN,125053669
Argyll & Bute,Local Authority,Dunbeg Primary School,Etive Road,Dunbeg,ARGYLL,PA37 1QF,125046651
Argyll & Bute,Local Authority,Dunoon Primary School,Hillfoot Street,Dunoon,ARGYLL,PA23 7DR,125031733
Argyll & Bute,Local Authority,St Mun's Primary School,Pilot Street,Dunoon,ARGYLL,PA23 8DB,125031673
Argyll & Bute,Local Authority,Easdale Primary School,Easdale,Isle of Seil,OBAN,PA34 4RF,125064781
Argyll & Bute,Local Authority,Furnace Primary School,Furnace,By Inveraray,ARGYLL,PA32 8XN,125054296
Argyll & Bute,Local Authority,Gigha Primary School,Isle Of Gigha,Argyll,,PA41 7AA,125052871
Argyll & Bute,Local Authority,Glassary Primary School,Kilmichael,Glassary,LOCHGILPHEAD,PA31 8QA,125050885
Argyll & Bute,Local Authority,Glenbarr Primary School,Glenbarr,By Tarbert,ARGYLL,PA29 6UT,125051806
Argyll & Bute,Local Authority,Innellan Primary School,Wyndham Road,Innellan,ARGYLL,PA23 7SJ,125031793
Argyll & Bute,Local Authority,Inveraray Primary School,Inveraray,Argyll,,PA32 8YH,125041824
