LA Name,Centre Type,School Name,Address Line1,Address Line2,Address Line3,Post Code,Unique Property Reference Number (UPRN)
Highland,Local Authority,Glenurquhart Primary School,Drumnadrochit,,,IV63 6UT,130057852
Highland,Local Authority,Glenelg Primary School,By Kyle,,,IV40 8LA,130111612
Highland,Local Authority,Abernethy Primary School,Nethybridge,,,PH25 3ED,130110305
Highland,Local Authority,Alvie Primary School,Kincraig,Kingussie,,PH21 1ND,130107391
Highland,Local Authority,Aviemore Primary School,Muirton,Aviemore,,PH22 1SF,130165367
Highland,Local Authority,Deshar Primary School,Deshar Road,Boat of Garten,INVERNESS-SHIRE,PH24 3BU,130088689
Highland,Local Authority,Newtonmore Primary School,7 Main Street,Newtonmore,,PH20 1DN,130110341
Highland,Local Authority,Kingussie High School,Ruthven Road,Kingussie,,PH21 1ES,130088744
Highland,Local Authority,Grantown Primary School,South Street,Grantown-on-Spey,,PH26 3HZ,130110293
Highland,Local Authority,Kingussie Primary School,Station Road,Kingussie,,PH21 1EN,130110319
Highland,Local Authority,Carrbridge Primary,Main Road,Carrbridge,,PH23 3AS,130107181
Highland,Local Authority,Grantown Grammar School,Cromdale Road,Grantown-on-Spey,,PH26 3HU,130089171
Highland,Local Authority,Auldearn Primary School,Manse Road,Auldearn,NAIRN,IV12 5SX,130110093
Highland,Local Authority,Cawdor Primary School,Cawdor,Nairn,,IV12 5XZ,130114380
Highland,Local Authority,Millbank Primary School,Millbank Crescent,Nairn,,IV12 4QB,130108931
Highland,Local Authority,Nairn Academy,Duncan Drive,Nairn,,IV12 4RD,130030705
Highland,Local Authority,Rosebank Primary School,Academy Street,Nairn,,IV12 4RB,130110857
Highland,Local Authority,Kinlochbervie High School,Manse Road,Kinlochbervie,,IV27 4RG,130113725
Highland,Local Authority,Gairloch Primary School,Auchtercairn,Gairloch,,IV21 2BP,130106198
Highland,Local Authority,Ullapool Primary School,Quay Street,Ullapool,,IV26 2UE,130088603
Highland,Local Authority,Kilchuimen Primary School,Station Road,Fort Augustus,INVERNESS-SHIRE,PH32 4DL,130169547
Moray,Local Authority,Alves Primary School,Main Road,Alves,MORAY,IV30 8UR,133001409
Moray,Local Authority,Bishopmill Primary School,Morriston Road,Elgin,MORAY,IV30 4DY,133036533
Moray,Local Authority,Burghead Primary School,Grant Street,Burghead,MORAY,IV30 5UQ,133001226
Moray,Local Authority,Dallas Primary School,Dallas,Moray,,IV36 2SA,133046789
Moray,Local Authority,Dyke Primary School,Dyke,Moray,,IV36 2TF,133046660
Moray,Local Authority,East End Primary School,Institution Road,Elgin,MORAY,IV30 1RP,133044320
Moray,Local Authority,Seafield Primary School,Deanshaugh Terrace,Bishopmill,ELGIN,IV30 4ES,133039111
Moray,Local Authority,St Sylvester's RC Primary School,Abbey Street,Elgin,MORAY,IV30 1DA,133055850
Moray,Local Authority,West End Primary School,Mayne Road,Elgin,MORAY,IV30 1PA,133000700
Moray,Local Authority,Anderson's Primary School,High Street,Forres,MORAY,IV36 1DB,133039538
Moray,Local Authority,Applegrove Primary School,Orchard Road,Forres,MORAY,IV36 1PJ,133001001
Moray,Local Authority,Hopeman Primary School,School Road,Hopeman,MORAY,IV30 5TQ,133001201
Moray,Local Authority,Kinloss Primary School,Burghead Road,Kinloss,MORAY,IV36 3SX,133001414
Moray,Local Authority,Knockando Primary School,Knockando,Moray,,AB38 7RY,133048395
Moray,Local Authority,Lhanbryde Primary School,Garmouth Road,Lhanbryde,MORAY,IV30 8PD,133001425
Moray,Local Authority,Logie Primary School,Dunphail,Forres,MORAY,IV36 2QG,133045728
Moray,Local Authority,Hythehill Primary School,Lossiemouth,Moray,,IV31 6RF,133039373
Moray,Local Authority,St Gerardine Primary School,St Gerardine's Road,Lossiemouth,MORAY,IV31 6JX,133001380
Moray,Local Authority,Mosstodloch Primary School,Garmouth Road,Mosstodloch,MORAY,IV32 7JB,133001441
Moray,Local Authority,Mosstowie Primary School,Miltonbrae,Miltonduff,MORAY,IV30 8TY,133056543
Moray,Local Authority,New Elgin Primary School,Bezack Street,New Elgin,MORAY,IV30 6DP,133039695
Moray,Local Authority,Rothes Primary School,Green Street,Rothes,MORAY,AB38 7BD,133002339
Moray,Local Authority,Elgin Academy,Morriston Road,Elgin,MORAY,IV30 4ND,133066269
Moray,Local Authority,Milne's Primary School,High Street,Fochabers,MORAY,IV32 7EP,133036368
Moray,Local Authority,Milne's High School,West Street,Fochabers,MORAY,IV32 7DJ,133040334
Moray,Local Authority,Forres Academy,Burdsyard Road,Forres,MORAY,IV36 1FG,133039551
Moray,Local Authority,Lossiemouth High School,Coulardbank Road,Lossiemouth,MORAY,IV31 6JU,133072026
Moray,Local Authority,Botriphnie Primary School,Drummuir,Keith,MORAY,AB55 5JF,133049164
Moray,Local Authority,Cluny Primary School,South Pringle Street,Buckie,MORAY,AB56 1PX,133001544
Moray,Local Authority,Millbank Primary School,McWilliam Crescent,Buckie,MORAY,AB56 1LU,133038849
Moray,Local Authority,St Peter's RC Primary School,37 St Peter's Terrace,Buckie,MORAY,AB56 1QN,133038863
Moray,Local Authority,Craigellachie Primary School,John Street,Craigellachie,MORAY,AB38 9SX,133036491
Moray,Local Authority,Cullen Primary School,Old Church Road,Cullen,MORAY,AB56 4UZ,133001806
Moray,Local Authority,Findochty Primary School,Burnside Street,Findochty,MORAY,AB56 4QW,133038924
Moray,Local Authority,Glenlivet Primary School,Glenlivet,Ballindalloch,MORAY,AB37 9DA,133048879
Moray,Local Authority,Keith Primary School,School Road,Keith,MORAY,AB55 5ES,133040394
Moray,Local Authority,St Thomas RC Primary School,Chapel Street,Keith,MORAY,AB55 5AL,133038671
Moray,Local Authority,Mortlach Primary School,York Street,Dufftown Keith,MORAY,AB55 4AU,133038804
Moray,Local Authority,Newmill Primary School,Isla Road,Newmill,KEITH,AB55 6US,133038773
Moray,Local Authority,Portessie Primary School,School Road,Portessie,BUCKIE,AB56 1TN,133001608
Moray,Local Authority,Portgordon Primary School,Richmond Terrace,Portgordon,MORAY,AB56 5RA,133038925
Moray,Local Authority,Portknockie Primary School,King Edward Terrace,Portknockie,MORAY,AB56 4NX,133036196
Moray,Local Authority,Rothiemay Primary School,Rothiemay,Huntly,MORAY,AB54 7LT,133057558
Moray,Local Authority,Buckie High School,West Cathcart Street,Buckie,MORAY,AB56 1QB,10091751347
Moray,Local Authority,Keith Grammar School,School Road,Keith,MORAY,AB55 5GS,133038733
Moray,Local Authority,Speyside High School,Mary Avenue,Aberlour,MORAY,AB38 9QU,133002296
Moray,Local Authority,Tomintoul Primary School,Cults Drive,Tomintoul,BALLINDALLOCH,AB37 9HA,133038563
Moray,Local Authority,Aberlour Primary School,Mary Avenue,Aberlour,MORAY,AB38 9PN,133002295
Moray,Local Authority,Greenwards Primary School,Edgar Road,New Elgin,ELGIN,IV30 6UQ,133039254
Aberdeenshire,Local Authority,Lairhillock School,Lairhillock,Netherley,ABERDEENSHIRE,AB39 3QS,151143673
Moray,Local Authority,Elgin High School,Edgar Road,,ELGIN MORAY,IV30 6UD,133070677
